# Golden vector: Zeta.Core.Cl3.gp — 200 random Cl(3,0) geometric products.
#
# GENERATED BY THE F# MODULE (src/Core/Cl3.fs), consumed by the TypeScript
# geometricProduct in ../conformal-embedding-and-curvature-budget.ts. Agreement is
# therefore evidence, not self-consistency.
#
#   dotnet build src/Core/Core.fsproj -c Release
#   dotnet fsi src/Core.TypeScript/research/testdata/dump-cl3-products.fsx
#
# Cl3.fs is NOT self-contained under dotnet fsi (AlgebraInterfaces -> IGroup -> ...),
# so the generator takes a project reference to the built DLL rather than #load.
#
# Inputs are a deterministic LCG seeded from COMMON_SEED=4 — no ambient entropy.
# Format: a|b|a*b, each an 8-tuple in Mv MASK order [S,E1,E2,E12,E3,E13,E23,E123].
0.71682556765154,1.9092820258811116,2.564319975208491,-4.299379289150238,0.385477973613888,0.4946619225665927,2.673273307736963,-0.8606560993939638|3.6165544134564698,-0.3787237172946334,4.322330642025918,-2.593733314424753,-3.9320648065768182,1.6145335650071502,2.549617493059486,2.5098534021526575|-5.168332605711119,-12.381223324674544,-5.8504199912633865,-0.7779369452945653,5.387200870524321,-11.159161901642069,10.52287373042422,12.1693621970168
1.9906021212227643,-2.501312862150371,4.102510779630393,-1.9009973481297493,-4.365721845533699,-1.9759430410340428,0.967301910277456,4.508823668584228|-4.70044857589528,-1.838951869867742,-3.220280755776912,2.820084560662508,4.880233632866293,3.029716326855123,4.710059927310795,4.651082428172231|-53.45334837543426,-19.50300667474288,-6.490041506481445,44.08469740662126,37.58800858470334,-21.159687428549887,-8.946702339118833,-65.87674558553861
-4.760297171305865,0.733630103059113,2.9166811029426754,1.9006853550672531,-4.735019446816295,-4.933219929225743,1.1616004980169237,-1.8387037236243486|-0.05770663497969508,-1.4377150451764464,-0.31804361613467336,1.0204887203872204,0.29786873841658235,3.851644522510469,-1.0889230878092349,1.9700644258409739|18.830543569969784,15.698199493333467,-16.78388628429714,-11.781292401162682,-10.086281782001759,-34.225314263587954,-3.786818203085257,-28.80978106560938
-2.452284663449973,-1.196710611693561,-3.8570911739952862,-1.8587171658873558,1.3001376600004733,-1.5908223064616323,2.733555545564741,-2.4149875435978174|-0.8452649298124015,3.8881886610761285,2.9336746293120086,-2.684445884078741,2.5416351878084242,-3.024936974979937,2.945484609808773,0.8368860650807619|-26.423520529495647,-19.615253203150925,15.59762007271759,11.007431662560869,-21.834116447566196,12.841883218208753,-34.894708396349,-8.122124409371043
1.1447116662748158,4.863640335388482,-3.701868795324117,-0.629919022321701,-4.247463659849018,-1.2268568621948361,-0.8648370974697173,-1.4993551839143038|-3.119184251409024,-3.3937419718131423,-3.492134076077491,-0.5354724265635014,4.010062033776194,-2.33223641756922,-1.7317914427258074,1.7915558908134699|-26.191840933908278,-34.71096138406584,-6.7177071923773335,-41.92553117379242,6.048601190064132,8.269705596985546,-15.97251565815482,-11.929793306470414
-2.217751785647124,4.912455161102116,0.6551448698155582,1.5250375494360924,-4.999802166130394,-2.3088834108784795,-2.831972206477076,-3.2637121621519327|3.7734589842148125,-4.536711289547384,-0.17911841394379735,-0.44717220589518547,3.654412704054266,0.445584817789495,-0.6287163333036005,1.4190043229609728|-44.48220296841787,24.37490262336303,-10.631884490257509,-12.896533056699099,-39.79958559408586,-18.17063338267624,14.336868737725249,1.4002191496583585
3.1083657522685826,4.664302957244217,0.6176058272831142,-4.1922178119421005,4.161377756390721,4.381085108034313,-3.6416351818479598,0.10245787911117077|1.569572736043483,2.360373237170279,1.1074323090724647,-4.132954645901918,1.3536850013770163,-4.052587770856917,3.1588542251847684,4.224083656445146|33.704543187579034,50.42168546493413,-4.954434098828242,2.916434532895173,5.611363751989561,-40.24450286442293,-14.821249401190364,-5.793534333417107
1.0425894265063107,-3.5744503093883395,1.095029457937926,0.5586164072155952,1.4695660979487002,2.6215826300904155,-1.668002048972994,0.2670931722968817|-2.5349506619386375,-0.7720989873632789,-3.20441183866933,4.769942704588175,2.289611103478819,-2.1898218104615808,-1.6778261051513255,4.506568061187863|-0.9533341719511865,18.42840138328302,-12.859293117415556,31.14193499543671,-2.460319194515328,-13.03805355403628,7.108649113539652,30.39391115247094
-1.8490712414495647,-4.03064179699868,-0.12220948236063123,3.1315135955810547,2.64848722377792,-2.3733100341632962,-3.810639458242804,4.630553824827075|-1.510234500747174,4.9005583161488175,0.8817785861901939,2.5754541717469692,1.3216575630940497,-0.45613805297762156,4.714605712797493,-1.763846417888999|3.418389035256128,-30.379466220199536,-42.621755531598154,1.929123445443846,3.4070981779135554,6.400789360186523,19.658202371157035,-28.412056519470116
-1.9791223551146686,-0.589311788789928,-2.9878768627531826,1.7691190168261528,-4.712900125887245,2.9210348008200526,3.880495314951986,-1.7993781808763742|-4.117417696397752,1.9923283020034432,4.305792402010411,-2.57631404325366,-2.637974692042917,1.4064896246418357,2.726622091140598,4.927458139136434|5.277222056299467,-16.8885932688381,16.250352545475877,-19.75256941576637,-20.231109634315786,33.42497908431283,-9.701737480772406,2.8812070482489283
-4.363585643004626,0.08129630703479052,4.175120822619647,-2.5222501903772354,3.2145971641875803,-2.785208304412663,-4.419945629779249,-4.532498987391591|-0.5336547899059951,3.7714909994974732,4.3257778021506965,1.1559161357581615,-2.249350359197706,-2.720865779556334,2.6608048169873655,-0.4849784728139639|18.364926274338984,-7.309478178130586,3.5743185982918586,8.98045328318094,52.62777542899044,21.081680700306137,-59.76474466554543,20.878928073515077
1.753001541364938,-4.595264042727649,4.049736454617232,-4.097605012357235,0.8754065842367709,1.278682085685432,-4.937700817827135,2.2788171377032995|2.0228840527124703,1.0356233129277825,3.8932423549704254,1.1895946599543095,2.630200239364058,1.5409156074747443,4.10684505244717,4.2283054161816835|30.40324157647434,-14.717130851485837,6.1299030627986255,-31.452794318284855,48.44680688252574,-44.65507934885895,-4.780649522862687,-32.91829076896873
-2.7274137805216014,3.771357503719628,-0.30021771090105176,-0.7982845604419708,-2.2958100005052984,4.8189742816612124,-4.923899399582297,-2.2853821981698275|3.6680130404420197,-1.0134009784087539,1.0280530038289726,2.3933433555066586,-0.6789188436232507,-4.055999466218054,-4.683456665370613,0.4666933510452509|-13.114028370037179,-4.493836440443879,8.421136329041573,37.13809899406835,-4.672094577461558,41.86434426847877,9.648529223867698,-33.45331759172558
